smiles,NG (1321/ 38650)
Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,0
Nc1c2ccccc2nc2ccccc12,1
Cl.NCCCCCC(=O)O,0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0
Nc1ccc(C(=O)NCC(=O)O)cc1,0
Cl.NCC(=O)CCC(=O)O,0
Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,0
Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0
Nc1ccc(C(=O)[O-])c(O)c1.[Na+],0
Nc1nccs1,0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,0
CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,0
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,0
CC(O)C(=O)[O-].[NH4+],1
CCN(CC)Cc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O.Cl.Cl,0
CCC(C)(C)c1ccc(CC(C)CN2CC(C)OC(C)C2)cc1.Cl,0
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,1
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,0
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],0
CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,0
CCCc1ncc(C[n+]2ccccc2C)c(N)n1.[Cl-],0
CN(C)c1cnccn1.O=S(=O)(O)O,0
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,0
CCC(C)(C)O,0
Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,0
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0
O=S(=O)([O-])c1cc(O)c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],1
Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12,0
CC=Cc1ccc(OC)cc1,0
COc1ccc(C(=O)N2CCCC2=O)cc1,0
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,0
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,0
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,0
O=C(O)c1c2ccccc2cc2ccccc12,0
O=C1c2c(O)cccc2Cc2cccc(O)c21,0
O.O.O.O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2.[K+].[K+],1
Cc1cc(=O)n(-c2ccccc2)n1C,0
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3.Cl,1
CNC1C(OC2OC(CO)C(N)C(O)C2O)OC2CC(N)C(OC3C(N)CC(N)C(O)C3O)OC2C1O.O=S(=O)(O)O,0
CC(OC1OCCN(C(C)c2nc(=O)[nH][nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
Br.COC(=O)C1=CCCN(C)C1,0
Cl.N=C(N)NCCCC(N)C(=O)O,0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,0
Nc1ccc([As](=O)(O)O)cc1,0
NCCO.NCCO.O[AsH]O[AsH]O,1
COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,0
CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,1
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,0
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,0
O=C1OC(C(O)CO)C(O)=C1O,0
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,1
NC(=O)CC(N)C(=O)O.O,0
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0
NC(CC(=O)O)C(=O)O,0
CC(=O)Oc1ccccc1C(=O)O,0
COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0
CNCCC(Oc1ccccc1C)c1ccccc1.Cl,0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],0
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1,1
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,0
COc1ccc(CNc2nc(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0
